Glider-ID,Lat Deg,Lon-Deg,ISO-Time,Temp_C,Salinity PPT,Depth (m)
GLIDER-01,32.15000,-118.35000,2024-06-01T00:00:00Z,16.00,34.230,250.0
GLIDER-01,32.16220,-118.33847,2024-06-01T00:48:48Z,15.76,34.252,262.8
GLIDER-01,32.17441,-118.32695,2024-06-01T01:37:37Z,15.53,34.273,275.5
GLIDER-01,32.18661,-118.31542,2024-06-01T02:26:26Z,15.29,34.292,288.2
GLIDER-01,32.19881,-118.30390,2024-06-01T03:15:15Z,15.05,34.309,300.7
GLIDER-01,32.21102,-118.29237,2024-06-01T04:04:04Z,14.81,34.324,313.1
GLIDER-01,32.22322,-118.28085,2024-06-01T04:52:52Z,14.57,34.338,325.4
GLIDER-01,32.23542,-118.26932,2024-06-01T05:41:41Z,14.33,34.351,337.4
GLIDER-01,32.24763,-118.25780,2024-06-01T06:30:30Z,14.09,34.362,349.2
GLIDER-01,32.25983,-118.24627,2024-06-01T07:19:19Z,13.84,34.372,360.7
GLIDER-01,32.27203,-118.23475,2024-06-01T08:08:08Z,13.60,34.381,371.8
GLIDER-01,32.28424,-118.22322,2024-06-01T08:56:56Z,13.36,34.389,382.7
GLIDER-01,32.29644,-118.21169,2024-06-01T09:45:45Z,13.12,34.396,393.1
GLIDER-01,32.30864,-118.20017,2024-06-01T10:34:34Z,12.89,34.403,403.2
GLIDER-01,32.32085,-118.18864,2024-06-01T11:23:23Z,12.66,34.410,412.8
GLIDER-01,32.33305,-118.17712,2024-06-01T12:12:12Z,12.45,34.416,421.9
GLIDER-01,32.34525,-118.16559,2024-06-01T13:01:01Z,12.23,34.423,430.6
GLIDER-01,32.35746,-118.15407,2024-06-01T13:49:49Z,12.03,34.429,438.8
GLIDER-01,32.36966,-118.14254,2024-06-01T14:38:38Z,11.85,34.436,446.4
GLIDER-01,32.38186,-118.13102,2024-06-01T15:27:27Z,11.68,34.443,453.5
GLIDER-01,32.39407,-118.11949,2024-06-01T16:16:16Z,11.52,34.451,459.9
GLIDER-01,32.40627,-118.10797,2024-06-01T17:05:05Z,11.38,34.459,465.8
GLIDER-01,32.41847,-118.09644,2024-06-01T17:53:53Z,11.26,34.468,471.1
GLIDER-01,32.43068,-118.08492,2024-06-01T18:42:42Z,11.15,34.477,475.8
GLIDER-01,32.44288,-118.07339,2024-06-01T19:31:31Z,11.07,34.487,479.8
GLIDER-01,32.45508,-118.06186,2024-06-01T20:20:20Z,11.01,34.497,483.1
GLIDER-01,32.46729,-118.05034,2024-06-01T21:09:09Z,10.96,34.507,485.8
GLIDER-01,32.47949,-118.03881,2024-06-01T21:57:57Z,10.94,34.518,487.9
GLIDER-01,32.49169,-118.02729,2024-06-01T22:46:46Z,10.93,34.528,489.2
GLIDER-01,32.50390,-118.01576,2024-06-01T23:35:35Z,10.94,34.539,489.9
GLIDER-01,32.51610,-118.00424,2024-06-02T00:24:24Z,10.97,34.549,489.9
GLIDER-01,32.52831,-117.99271,2024-06-02T01:13:13Z,11.01,34.558,489.2
GLIDER-01,32.54051,-117.98119,2024-06-02T02:02:02Z,11.07,34.567,487.9
